Data,Hora (UTC),Temp. Ins. (C),Temp. Max. (C),Temp. Min. (C),Umi. Ins. (%),Umi. Max. (%),Umi. Min. (%),Pto Orvalho Ins. (C),Pto Orvalho Max. (C),Pto Orvalho Min. (C),Pressao Ins. (hPa),Pressao Max. (hPa),Pressao Min. (hPa),Vel. Vento (m/s),Dir. Vento (m/s),Raj. Vento (m/s),Radiacao (KJ/m²),Chuva (mm)
04/01/2007,2300,"23,2","23,5","23,2",94,95,93,"22,1","22,6","22,1","978,5","978,5","978,1","2,4",125,"6,4","111,6","0,4"
05/01/2007,0,"22,8","23,3","22,7",95,95,92,"21,9","22,2","21,7","978,8","978,9","978,4","1,8",110,"3,9",,0
05/01/2007,100,"23,3","23,3","22,5",93,96,93,22,"22,1","21,7","979,6","979,6","978,8","1,8",74,"2,8",,0
05/01/2007,200,"22,7","23,3","22,5",96,96,92,22,"22,1","21,7","979,9","979,9","979,5",1,132,"2,8",,0
05/01/2007,300,"22,3","22,7","22,2",98,98,96,"21,9",22,"21,7","979,7","979,9","979,7","0,7",167,"1,4",,0
05/01/2007,400,22,"22,3","21,8",98,98,97,"21,6","21,9","21,4","979,3","979,7","979,3","0,3",157,"1,4",,0
05/01/2007,500,22,"22,2","21,8",98,98,97,"21,6","21,8","21,3","979,1","979,3","979,1","1,1",160,2,,0
05/01/2007,600,"21,7",22,"21,6",98,98,97,"21,3","21,7","21,3","978,8","979,1","978,7","0,4",113,"2,3",,0
05/01/2007,700,"21,8",22,"21,7",97,98,97,"21,4","21,6","21,4","978,8","978,8","978,6","1,4",195,"2,3",,0
05/01/2007,800,22,"22,1","21,8",98,98,97,"21,7","21,7","21,4","979,1","979,1","978,6","1,2",154,"3,2",,0
05/01/2007,900,"22,5","22,5",22,96,98,95,"21,8","21,8","21,7","979,6","979,6","979,1","0,5",201,"2,3","10,4",0
05/01/2007,1000,"22,4","22,9","22,3",97,97,95,"21,9","22,3","21,7","979,9","979,9","979,5","1,1",195,"2,2","263,4","0,2"
