"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2012";"0000";"18,5";"19,9";"18,4";"77,0";"77,0";"67,0";"14,4";"14,4";"13,6";"985,5";"985,5";"985,0";"6,2";"133,0";"11,1";"";"0,0"
"01/01/2012";"0100";"18,5";"18,6";"17,9";"74,0";"83,0";"73,0";"13,7";"15,0";"13,7";"985,6";"985,7";"985,4";"8,9";"115,0";"15,7";"";"0,0"
"01/01/2012";"0200";"17,8";"18,6";"17,8";"78,0";"78,0";"73,0";"13,9";"13,9";"13,6";"985,9";"986,0";"985,6";"7,7";"113,0";"15,7";"";"0,0"
"01/01/2012";"0300";"17,7";"17,8";"17,4";"82,0";"82,0";"78,0";"14,6";"14,6";"13,8";"985,7";"986,0";"985,7";"8,8";"128,0";"13,2";"";"0,0"
"01/01/2012";"0400";"17,7";"17,9";"17,5";"84,0";"85,0";"82,0";"15,0";"15,1";"14,5";"985,3";"985,8";"985,3";"8,2";"131,0";"11,9";"";"0,0"
"01/01/2012";"0500";"18,1";"18,3";"17,7";"84,0";"85,0";"82,0";"15,4";"15,6";"15,0";"984,5";"985,3";"984,5";"7,9";"114,0";"12,7";"";"0,0"
"01/01/2012";"0600";"18,1";"18,5";"18,1";"84,0";"84,0";"82,0";"15,3";"15,5";"15,3";"984,0";"984,5";"983,9";"7,8";"115,0";"11,8";"";"0,0"
"01/01/2012";"0700";"17,3";"18,2";"17,3";"82,0";"84,0";"81,0";"14,3";"15,3";"14,3";"984,6";"984,6";"983,9";"4,3";"101,0";"11,4";"";"0,0"
"01/01/2012";"0800";"17,4";"17,8";"17,3";"81,0";"83,0";"81,0";"14,2";"14,6";"14,1";"985,2";"985,2";"984,6";"5,9";"127,0";"7,6";"";"0,0"
"01/01/2012";"0900";"17,4";"17,5";"17,3";"82,0";"82,0";"80,0";"14,4";"14,4";"14,0";"985,9";"985,9";"985,2";"6,6";"123,0";"9,2";"12,50";"0,0"
"01/01/2012";"1000";"18,3";"18,3";"17,3";"82,0";"85,0";"82,0";"15,2";"15,4";"14,4";"986,4";"986,4";"985,9";"6,3";"131,0";"9,2";"262,00";"0,0"
"01/01/2012";"1100";"19,6";"19,6";"18,3";"79,0";"83,0";"79,0";"15,9";"16,0";"15,2";"986,8";"986,8";"986,4";"7,5";"126,0";"9,5";"370,20";"0,0"
"01/01/2012";"1200";"21,3";"21,4";"19,6";"72,0";"80,0";"72,0";"16,1";"16,2";"15,7";"986,9";"987,0";"986,7";"8,9";"119,0";"13,3";"882,90";"0,0"
"01/01/2012";"1300";"22,0";"22,7";"21,3";"72,0";"72,0";"68,0";"16,7";"16,8";"15,8";"987,1";"987,1";"986,8";"8,7";"106,0";"13,7";"1342,50";"0,0"
"01/01/2012";"1400";"24,4";"25,2";"21,6";"60,0";"75,0";"60,0";"16,2";"17,7";"16,2";"986,7";"987,1";"986,6";"8,9";"91,0";"15,8";"2539,50";"0,0"
"01/01/2012";"1500";"25,5";"26,7";"23,8";"54,0";"64,0";"53,0";"15,5";"17,0";"15,5";"986,3";"986,7";"986,3";"8,3";"103,0";"14,8";"2895,90";"0,0"
"01/01/2012";"1600";"26,4";"26,8";"24,7";"52,0";"58,0";"52,0";"15,8";"16,9";"15,1";"986,0";"986,4";"985,9";"9,3";"109,0";"13,6";"2461,10";"0,0"
